window,band_width,total_profit,trades,avg_profit,win_rate
10,1.0,2909.0,4922,0.5910199106054449,0.7945956928078017
10,1.1,2984.0,4819,0.6192156048972816,0.7902054368126167
10,1.2000000000000002,2820.5,4579,0.6159641843197204,0.7875081895610395
10,1.3000000000000003,2633.0,4256,0.6186560150375939,0.7838345864661654
10,1.4000000000000004,2417.5,3827,0.6316958453096421,0.7841651424091978
10,1.5000000000000004,2287.0,3393,0.6740347774830533,0.78868258178603
10,1.6000000000000005,2042.5,2953,0.6916694886556045,0.7842871655943109
10,1.7000000000000006,1763.5,2507,0.7034303948942959,0.7722377343438372
10,1.8000000000000007,1384.0,2003,0.690963554667998,0.7533699450823764
10,1.9000000000000008,1128.5,1582,0.7133375474083439,0.7427307206068268
10,2.000000000000001,763.5,1197,0.6378446115288221,0.7218045112781954
10,2.100000000000001,521.0,887,0.5873731679819617,0.6820744081172492
10,2.200000000000001,384.5,611,0.6292962356792144,0.6775777414075287
10,2.300000000000001,315.0,381,0.8267716535433071,0.6955380577427821
10,2.4000000000000012,212.0,221,0.9592760180995475,0.6923076923076923
10,2.5000000000000013,144.0,117,1.2307692307692308,0.6923076923076923
10,2.6000000000000014,99.0,54,1.8333333333333333,0.6481481481481481
10,2.7000000000000015,70.5,16,4.40625,0.5
10,2.8000000000000016,75.0,3,25.0,0.6666666666666666
10,2.9000000000000017,0.0,0,0.0,0.0
10,3.0000000000000018,0.0,0,0.0,0.0
11,1.0,2756.0,4791,0.575245251513254,0.7987893967856398
11,1.1,2807.0,4667,0.6014570387829441,0.7932290550674952
11,1.2000000000000002,2742.5,4479,0.6123018530922081,0.7858897075240009
11,1.3000000000000003,2686.5,4202,0.6393384102808186,0.789148024750119
11,1.4000000000000004,2454.0,3814,0.6434189826953329,0.7907708442579968
11,1.5000000000000004,2267.0,3415,0.6638360175695461,0.7912152269399707
11,1.6000000000000005,2097.5,2965,0.7074198988195616,0.7922428330522766
11,1.7000000000000006,1752.0,2520,0.6952380952380952,0.7821428571428571
11,1.8000000000000007,1492.0,2116,0.7051039697542533,0.7679584120982986
11,1.9000000000000008,1185.0,1672,0.708732057416268,0.7505980861244019
11,2.000000000000001,876.5,1304,0.6721625766871165,0.7315950920245399
11,2.100000000000001,628.5,978,0.6426380368098159,0.7167689161554193
11,2.200000000000001,405.0,713,0.5680224403927069,0.6760168302945302
11,2.300000000000001,324.5,493,0.6582150101419878,0.6815415821501014
11,2.4000000000000012,265.5,323,0.8219814241486069,0.7089783281733746
11,2.5000000000000013,199.5,198,1.0075757575757576,0.702020202020202
11,2.6000000000000014,125.0,93,1.3440860215053763,0.6774193548387096
11,2.7000000000000015,84.5,51,1.6568627450980393,0.6078431372549019
11,2.8000000000000016,73.5,18,4.083333333333333,0.5555555555555556
11,2.9000000000000017,74.0,8,9.25,0.625
11,3.0000000000000018,71.0,2,35.5,0.5
12,1.0,2639.0,4683,0.5635276532137519,0.8014093529788597
12,1.1,2801.0,4580,0.6115720524017467,0.8026200873362446
12,1.2000000000000002,2750.5,4396,0.6256824385805277,0.7973157415832575
12,1.3000000000000003,2645.0,4130,0.6404358353510896,0.7937046004842615
12,1.4000000000000004,2486.5,3817,0.6514278228975635,0.792507204610951
12,1.5000000000000004,2238.0,3433,0.6519079522283717,0.7914360617535683
12,1.6000000000000005,2036.0,3001,0.6784405198267244,0.789736754415195
12,1.7000000000000006,1759.0,2553,0.6889933411672542,0.7822169996083039
12,1.8000000000000007,1472.0,2117,0.6953235710911667,0.7732640529050543
12,1.9000000000000008,1215.0,1741,0.697874784606548,0.7599080987937966
12,2.000000000000001,999.5,1365,0.7322344322344322,0.7531135531135531
12,2.100000000000001,736.5,1051,0.7007611798287345,0.730732635585157
12,2.200000000000001,525.5,790,0.6651898734177215,0.710126582278481
12,2.300000000000001,375.0,581,0.6454388984509466,0.6884681583476764
12,2.4000000000000012,268.5,399,0.6729323308270677,0.6716791979949874
12,2.5000000000000013,215.0,276,0.7789855072463768,0.6811594202898551
12,2.6000000000000014,180.0,162,1.1111111111111112,0.7037037037037037
12,2.7000000000000015,115.5,90,1.2833333333333334,0.6666666666666666
12,2.8000000000000016,83.5,47,1.7765957446808511,0.6170212765957447
12,2.9000000000000017,81.5,19,4.2894736842105265,0.631578947368421
12,3.0000000000000018,71.5,6,11.916666666666666,0.5
13,1.0,2569.0,4552,0.5643673110720563,0.8066783831282952
13,1.1,2656.0,4437,0.5986026594545865,0.8043723236421005
13,1.2000000000000002,2663.0,4293,0.6203121360354065,0.7987421383647799
13,1.3000000000000003,2502.5,4053,0.6174438687392055,0.7915124599062423
13,1.4000000000000004,2376.5,3751,0.633564382831245,0.790455878432418
13,1.5000000000000004,2196.0,3378,0.650088809946714,0.7912966252220248
13,1.6000000000000005,1965.0,2979,0.6596173212487412,0.7915407854984894
13,1.7000000000000006,1738.5,2592,0.6707175925925926,0.7854938271604939
13,1.8000000000000007,1472.0,2161,0.6811661267931514,0.7792688570106432
13,1.9000000000000008,1193.0,1744,0.6840596330275229,0.7631880733944955
13,2.000000000000001,1016.0,1438,0.7065368567454798,0.7538247566063978
13,2.100000000000001,755.0,1092,0.6913919413919414,0.7307692307692307
13,2.200000000000001,618.0,847,0.7296340023612751,0.7343565525383707
13,2.300000000000001,438.0,630,0.6952380952380952,0.7031746031746032
13,2.4000000000000012,302.0,461,0.6550976138828634,0.6767895878524945
13,2.5000000000000013,241.0,308,0.7824675324675324,0.6688311688311688
13,2.6000000000000014,233.5,220,1.0613636363636363,0.7045454545454546
13,2.7000000000000015,174.5,139,1.2553956834532374,0.7266187050359713
13,2.8000000000000016,110.5,73,1.5136986301369864,0.684931506849315
13,2.9000000000000017,82.0,44,1.8636363636363635,0.6136363636363636
13,3.0000000000000018,67.5,20,3.375,0.55
14,1.0,2475.5,4463,0.5546717454626933,0.8048397938606319
14,1.1,2548.0,4354,0.5852090032154341,0.8086816720257235
14,1.2000000000000002,2512.0,4166,0.6029764762361978,0.799807969275084
14,1.3000000000000003,2462.5,3968,0.6205897177419355,0.796875
14,1.4000000000000004,2351.0,3728,0.6306330472103004,0.7969420600858369
14,1.5000000000000004,2207.5,3387,0.651756716858577,0.7948036610569826
14,1.6000000000000005,1943.5,3000,0.6478333333333334,0.7876666666666666
14,1.7000000000000006,1717.0,2581,0.6652460286710578,0.7872917473847346
14,1.8000000000000007,1464.5,2189,0.6690269529465509,0.7788944723618091
14,1.9000000000000008,1201.0,1799,0.6675931072818232,0.763757643135075
14,2.000000000000001,974.5,1438,0.6776773296244785,0.7531293463143255
14,2.100000000000001,811.5,1158,0.7007772020725389,0.7305699481865285
14,2.200000000000001,645.0,908,0.710352422907489,0.7301762114537445
14,2.300000000000001,504.5,688,0.7332848837209303,0.7281976744186046
14,2.4000000000000012,362.0,511,0.7084148727984344,0.700587084148728
14,2.5000000000000013,271.0,374,0.7245989304812834,0.6844919786096256
14,2.6000000000000014,215.5,248,0.8689516129032258,0.6895161290322581
14,2.7000000000000015,191.0,169,1.1301775147928994,0.7218934911242604
14,2.8000000000000016,125.0,103,1.2135922330097086,0.6893203883495146
14,2.9000000000000017,89.0,59,1.5084745762711864,0.6440677966101694
14,3.0000000000000018,76.0,40,1.9,0.625
15,1.0,2324.5,4355,0.5337543053960965,0.8052812858783008
15,1.1,2457.5,4232,0.5806947069943289,0.8083648393194707
15,1.2000000000000002,2457.5,4088,0.6011497064579256,0.8055283757338552
15,1.3000000000000003,2430.5,3897,0.6236848858095971,0.8029253271747498
15,1.4000000000000004,2293.0,3642,0.6295991213618891,0.7937946183415706
15,1.5000000000000004,2198.5,3349,0.6564646163033742,0.7984472977008062
15,1.6000000000000005,1964.0,2958,0.6639621365787695,0.7900608519269777
15,1.7000000000000006,1612.5,2544,0.6338443396226415,0.7802672955974843
15,1.8000000000000007,1375.5,2177,0.6318327974276527,0.7813504823151125
15,1.9000000000000008,1150.0,1795,0.6406685236768802,0.7727019498607243
15,2.000000000000001,899.5,1470,0.611904761904762,0.7496598639455783
15,2.100000000000001,782.5,1188,0.6586700336700336,0.7382154882154882
15,2.200000000000001,657.0,960,0.684375,0.721875
15,2.300000000000001,531.0,745,0.7127516778523489,0.7154362416107383
