window,band_width,total_profit,trades,avg_profit,win_rate
3,0.5,-112.0,62,-1.8064516129032258,0.43548387096774194
3,0.6,-570.0,117,-4.871794871794871,0.3504273504273504
3,0.7,-576.0,118,-4.88135593220339,0.3474576271186441
3,0.7999999999999999,-617.0,122,-5.057377049180328,0.32786885245901637
3,0.8999999999999999,-549.0,135,-4.066666666666666,0.34814814814814815
3,0.9999999999999999,-516.0,131,-3.9389312977099236,0.31297709923664124
3,1.0999999999999999,-494.0,116,-4.258620689655173,0.25
3,1.1999999999999997,0.0,0,0.0,0.0
3,1.2999999999999998,0.0,0,0.0,0.0
3,1.4,0.0,0,0.0,0.0
3,1.4999999999999998,0.0,0,0.0,0.0
3,1.5999999999999996,0.0,0,0.0,0.0
3,1.6999999999999997,0.0,0,0.0,0.0
3,1.7999999999999998,0.0,0,0.0,0.0
3,1.8999999999999997,0.0,0,0.0,0.0
4,0.5,-470.0,110,-4.2727272727272725,0.35454545454545455
4,0.6,-500.0,113,-4.424778761061947,0.34513274336283184
4,0.7,-585.0,116,-5.043103448275862,0.3103448275862069
4,0.7999999999999999,-518.0,128,-4.046875,0.3203125
4,0.8999999999999999,-628.0,133,-4.7218045112781954,0.3233082706766917
4,0.9999999999999999,-655.0,140,-4.678571428571429,0.2857142857142857
4,1.0999999999999999,-563.0,140,-4.021428571428571,0.2857142857142857
4,1.1999999999999997,-486.0,132,-3.6818181818181817,0.2727272727272727
4,1.2999999999999998,-411.0,110,-3.7363636363636363,0.2545454545454545
4,1.4,-286.0,70,-4.085714285714285,0.24285714285714285
4,1.4999999999999998,-1.0,1,-1.0,0.0
4,1.5999999999999996,0.0,0,0.0,0.0
4,1.6999999999999997,0.0,0,0.0,0.0
4,1.7999999999999998,0.0,0,0.0,0.0
4,1.8999999999999997,0.0,0,0.0,0.0
5,0.5,-430.0,99,-4.343434343434343,0.3333333333333333
5,0.6,-519.0,106,-4.89622641509434,0.32075471698113206
5,0.7,-549.0,123,-4.463414634146342,0.3170731707317073
5,0.7999999999999999,-537.0,130,-4.130769230769231,0.33076923076923076
5,0.8999999999999999,-562.0,137,-4.102189781021898,0.31386861313868614
5,0.9999999999999999,-621.0,141,-4.404255319148936,0.3049645390070922
5,1.0999999999999999,-715.0,144,-4.965277777777778,0.2708333333333333
5,1.1999999999999997,-702.0,140,-5.014285714285714,0.2571428571428571
5,1.2999999999999998,-593.0,127,-4.669291338582677,0.23622047244094488
5,1.4,-481.0,115,-4.182608695652174,0.23478260869565218
5,1.4999999999999998,-355.0,83,-4.27710843373494,0.21686746987951808
5,1.5999999999999996,-347.0,57,-6.087719298245614,0.17543859649122806
5,1.6999999999999997,-176.0,29,-6.068965517241379,0.2413793103448276
5,1.7999999999999998,0.0,0,0.0,0.0
5,1.8999999999999997,0.0,0,0.0,0.0
6,0.5,-526.0,102,-5.1568627450980395,0.3431372549019608
6,0.6,-433.0,112,-3.8660714285714284,0.375
6,0.7,-436.0,122,-3.5737704918032787,0.32786885245901637
6,0.7999999999999999,-570.0,128,-4.453125,0.3203125
6,0.8999999999999999,-606.0,132,-4.590909090909091,0.30303030303030304
6,0.9999999999999999,-572.0,133,-4.3007518796992485,0.2932330827067669
6,1.0999999999999999,-660.0,131,-5.038167938931298,0.2748091603053435
6,1.1999999999999997,-711.0,133,-5.345864661654136,0.24060150375939848
6,1.2999999999999998,-621.0,134,-4.634328358208955,0.23134328358208955
6,1.4,-558.0,117,-4.769230769230769,0.2222222222222222
6,1.4999999999999998,-464.0,107,-4.336448598130841,0.22429906542056074
6,1.5999999999999996,-370.0,87,-4.252873563218391,0.22988505747126436
6,1.6999999999999997,-345.0,61,-5.655737704918033,0.14754098360655737
6,1.7999999999999998,-252.0,40,-6.3,0.2
6,1.8999999999999997,-142.0,18,-7.888888888888889,0.2222222222222222
7,0.5,-441.0,92,-4.793478260869565,0.30434782608695654
7,0.6,-297.0,108,-2.75,0.37037037037037035
7,0.7,-430.0,117,-3.675213675213675,0.3504273504273504
7,0.7999999999999999,-364.0,121,-3.0082644628099175,0.3305785123966942
7,0.8999999999999999,-535.0,127,-4.21259842519685,0.31496062992125984
7,0.9999999999999999,-666.0,129,-5.162790697674419,0.3023255813953488
7,1.0999999999999999,-580.0,131,-4.427480916030534,0.2900763358778626
7,1.1999999999999997,-628.0,130,-4.8307692307692305,0.25384615384615383
7,1.2999999999999998,-587.0,127,-4.622047244094488,0.2283464566929134
7,1.4,-595.0,125,-4.76,0.224
7,1.4999999999999998,-557.0,113,-4.929203539823009,0.21238938053097345
7,1.5999999999999996,-516.0,108,-4.777777777777778,0.2037037037037037
7,1.6999999999999997,-494.0,88,-5.613636363636363,0.20454545454545456
7,1.7999999999999998,-323.0,62,-5.209677419354839,0.1935483870967742
7,1.8999999999999997,-219.0,40,-5.475,0.175
8,0.5,-353.0,89,-3.966292134831461,0.3258426966292135
8,0.6,-474.0,113,-4.1946902654867255,0.3008849557522124
8,0.7,-458.0,118,-3.8813559322033897,0.3135593220338983
8,0.7999999999999999,-552.0,128,-4.3125,0.2890625
8,0.8999999999999999,-544.0,133,-4.090225563909774,0.3082706766917293
8,0.9999999999999999,-560.0,133,-4.2105263157894735,0.3157894736842105
