window,z_entry,z_exit,total_profit,trades,avg_profit,win_rate
3,0.8,0.1,-197.0,30,-6.566666666666666,0.4
3,0.8,0.3,-166.0,49,-3.3877551020408165,0.42857142857142855
3,0.8,0.5,-320.0,57,-5.614035087719298,0.38596491228070173
3,0.8,0.7,-589.0,115,-5.121739130434783,0.34782608695652173
3,0.8,0.9,-606.0,144,-4.208333333333333,0.3680555555555556
3,1.0,0.1,-178.0,28,-6.357142857142857,0.39285714285714285
3,1.0,0.3,-148.0,44,-3.3636363636363638,0.4318181818181818
3,1.0,0.5,-296.0,51,-5.803921568627451,0.39215686274509803
3,1.0,0.7,-480.0,94,-5.1063829787234045,0.3617021276595745
3,1.0,0.9,-509.0,114,-4.464912280701754,0.3508771929824561
3,1.2,0.1,0.0,0,0.0,0.0
3,1.2,0.3,0.0,0,0.0,0.0
3,1.2,0.5,0.0,0,0.0,0.0
3,1.2,0.7,0.0,0,0.0,0.0
3,1.2,0.9,0.0,0,0.0,0.0
3,1.4,0.1,0.0,0,0.0,0.0
3,1.4,0.3,0.0,0,0.0,0.0
3,1.4,0.5,0.0,0,0.0,0.0
3,1.4,0.7,0.0,0,0.0,0.0
3,1.4,0.9,0.0,0,0.0,0.0
3,1.6,0.1,0.0,0,0.0,0.0
3,1.6,0.3,0.0,0,0.0,0.0
3,1.6,0.5,0.0,0,0.0,0.0
3,1.6,0.7,0.0,0,0.0,0.0
3,1.6,0.9,0.0,0,0.0,0.0
3,1.8,0.1,0.0,0,0.0,0.0
3,1.8,0.3,0.0,0,0.0,0.0
3,1.8,0.5,0.0,0,0.0,0.0
3,1.8,0.7,0.0,0,0.0,0.0
3,1.8,0.9,0.0,0,0.0,0.0
3,2.0,0.1,0.0,0,0.0,0.0
3,2.0,0.3,0.0,0,0.0,0.0
3,2.0,0.5,0.0,0,0.0,0.0
3,2.0,0.7,0.0,0,0.0,0.0
3,2.0,0.9,0.0,0,0.0,0.0
3,2.2,0.1,0.0,0,0.0,0.0
3,2.2,0.3,0.0,0,0.0,0.0
3,2.2,0.5,0.0,0,0.0,0.0
3,2.2,0.7,0.0,0,0.0,0.0
3,2.2,0.9,0.0,0,0.0,0.0
3,2.4,0.1,0.0,0,0.0,0.0
3,2.4,0.3,0.0,0,0.0,0.0
3,2.4,0.5,0.0,0,0.0,0.0
3,2.4,0.7,0.0,0,0.0,0.0
3,2.4,0.9,0.0,0,0.0,0.0
4,0.8,0.1,-350.0,25,-14.0,0.44
4,0.8,0.3,-290.0,62,-4.67741935483871,0.4032258064516129
4,0.8,0.5,-314.0,102,-3.0784313725490198,0.37254901960784315
4,0.8,0.7,-441.0,110,-4.009090909090909,0.3181818181818182
4,0.8,0.9,-620.0,141,-4.397163120567376,0.3191489361702128
4,1.0,0.1,-408.0,25,-16.32,0.32
4,1.0,0.3,-345.0,58,-5.948275862068965,0.3620689655172414
4,1.0,0.5,-338.0,93,-3.6344086021505375,0.3548387096774194
4,1.0,0.7,-465.0,100,-4.65,0.3
4,1.0,0.9,-634.0,130,-4.876923076923077,0.3153846153846154
4,1.2,0.1,-346.0,24,-14.416666666666666,0.375
