buy_z,sell_z,pnl
0.5,0.5,247.0
0.5,0.6,252.5
0.5,0.7,44.0
0.5,0.8,104.5
0.5,0.9,437.5
0.5,1.0,223.0
0.5,1.1,159.5
0.5,1.2000000000000002,171.5
0.5,1.3,159.0
0.5,1.4,222.5
0.5,1.5,103.5
0.5,1.6,116.5
0.5,1.7000000000000002,119.0
0.5,1.8,55.5
0.5,1.9000000000000001,50.5
0.5,2.0,-424.0
0.5,2.1,-424.0
0.5,2.2,-424.0
0.5,2.3,-424.0
0.5,2.4000000000000004,-424.0
0.5,2.5,-424.0
0.6,0.5,346.5
0.6,0.6,352.0
0.6,0.7,144.5
0.6,0.8,205.0
0.6,0.9,538.0
0.6,1.0,277.5
0.6,1.1,214.0
0.6,1.2000000000000002,226.0
0.6,1.3,213.5
0.6,1.4,277.0
0.6,1.5,158.0
0.6,1.6,171.0
0.6,1.7000000000000002,173.5
0.6,1.8,110.0
0.6,1.9000000000000001,105.0
0.6,2.0,-422.5
0.6,2.1,-422.5
0.6,2.2,-422.5
0.6,2.3,-422.5
0.6,2.4000000000000004,-422.5
0.6,2.5,-422.5
0.7,0.5,326.5
0.7,0.6,332.0
0.7,0.7,129.5
0.7,0.8,190.0
0.7,0.9,523.0
0.7,1.0,257.5
0.7,1.1,194.0
0.7,1.2000000000000002,206.0
0.7,1.3,193.5
0.7,1.4,257.0
0.7,1.5,138.0
0.7,1.6,151.0
0.7,1.7000000000000002,153.5
0.7,1.8,90.0
0.7,1.9000000000000001,85.0
0.7,2.0,-434.5
0.7,2.1,-434.5
0.7,2.2,-434.5
0.7,2.3,-434.5
0.7,2.4000000000000004,-434.5
0.7,2.5,-434.5
0.8,0.5,397.5
0.8,0.6,403.0
0.8,0.7,176.0
0.8,0.8,236.5
0.8,0.9,569.5
0.8,1.0,276.0
0.8,1.1,212.5
0.8,1.2000000000000002,224.5
0.8,1.3,212.0
0.8,1.4,275.5
0.8,1.5,156.5
0.8,1.6,169.5
0.8,1.7000000000000002,172.0
0.8,1.8,108.5
0.8,1.9000000000000001,103.5
0.8,2.0,-427.0
0.8,2.1,-427.0
0.8,2.2,-427.0
0.8,2.3,-427.0
0.8,2.4000000000000004,-427.0
0.8,2.5,-427.0
0.9,0.5,603.0
0.9,0.6,608.5
0.9,0.7,235.5
0.9,0.8,296.0
0.9,0.9,629.0
0.9,1.0,323.5
0.9,1.1,260.0
0.9,1.2000000000000002,272.0
0.9,1.3,259.5
0.9,1.4,323.0
0.9,1.5,204.0
0.9,1.6,217.0
0.9,1.7000000000000002,219.5
0.9,1.8,156.0
0.9,1.9000000000000001,151.0
0.9,2.0,-424.0
0.9,2.1,-424.0
0.9,2.2,-424.0
0.9,2.3,-424.0
0.9,2.4000000000000004,-424.0
0.9,2.5,-424.0
1.0,0.5,686.0
1.0,0.6,691.5
1.0,0.7,283.0
1.0,0.8,343.5
1.0,0.9,676.5
1.0,1.0,335.0
1.0,1.1,271.5
1.0,1.2000000000000002,283.5
1.0,1.3,271.0
1.0,1.4,334.5
1.0,1.5,215.5
1.0,1.6,228.5
1.0,1.7000000000000002,231.0
1.0,1.8,167.5
1.0,1.9000000000000001,162.5
1.0,2.0,-423.5
1.0,2.1,-423.5
1.0,2.2,-423.5
1.0,2.3,-423.5
1.0,2.4000000000000004,-423.5
1.0,2.5,-423.5
1.1,0.5,749.0
1.1,0.6,754.5
1.1,0.7,330.0
1.1,0.8,390.5
1.1,0.9,723.5
1.1,1.0,371.0
1.1,1.1,307.5
1.1,1.2000000000000002,319.5
1.1,1.3,307.0
1.1,1.4,370.5
1.1,1.5,251.5
1.1,1.6,264.5
1.1,1.7000000000000002,267.0
1.1,1.8,203.5
1.1,1.9000000000000001,198.5
1.1,2.0,-412.0
1.1,2.1,-412.0
1.1,2.2,-412.0
1.1,2.3,-412.0
1.1,2.4000000000000004,-412.0
1.1,2.5,-412.0
1.2000000000000002,0.5,733.0
1.2000000000000002,0.6,701.0
1.2000000000000002,0.7,409.5
1.2000000000000002,0.8,470.0
1.2000000000000002,0.9,803.0
1.2000000000000002,1.0,406.5
1.2000000000000002,1.1,343.0
